Date,Price,Open,High,Low,Vol.,Change %
"Apr 05, 2020","6,772.70","6,857.50","6,889.40","6,686.00",842.33K,-1.23%
"Apr 04, 2020","6,857.40","6,735.90","6,958.60","6,679.10",1.05M,1.80%
"Apr 03, 2020","6,735.90","6,799.90","7,026.30","6,623.60",1.35M,-0.95%
"Apr 02, 2020","6,800.50","6,638.80","7,182.70","6,567.90",1.74M,2.44%
"Apr 01, 2020","6,638.50","6,412.40","6,661.30","6,157.40",1.40M,3.52%
"Mar 31, 2020","6,412.50","6,391.10","6,513.10","6,346.30",1.05M,0.34%
"Mar 30, 2020","6,391.00","5,890.40","6,576.50","5,872.50",1.43M,8.50%
"Mar 29, 2020","5,890.40","6,233.20","6,258.80","5,889.30",916.17K,-5.51%
"Mar 28, 2020","6,233.70","6,373.40","6,374.30","6,046.50",1.26M,-2.19%
"Mar 27, 2020","6,373.40","6,725.50","6,813.70","6,322.30",1.16M,-5.23%
"Mar 26, 2020","6,725.10","6,677.90","6,772.90","6,541.70",1.18M,0.69%
"Mar 25, 2020","6,678.90","6,744.80","6,930.20","6,474.60",1.52M,-0.97%
"Mar 24, 2020","6,744.60","6,468.80","6,814.20","6,380.80",1.73M,4.26%
"Mar 23, 2020","6,468.90","5,822.00","6,564.70","5,710.80",1.88M,11.11%
"Mar 22, 2020","5,822.10","6,186.90","6,394.40","5,771.20",1.48M,-5.89%
"Mar 21, 2020","6,186.20","6,205.60","6,438.30","5,887.00",1.64M,-0.31%
"Mar 20, 2020","6,205.30","6,171.60","6,858.10","5,748.20",2.22M,0.54%
"Mar 19, 2020","6,172.00","5,359.20","6,379.50","5,256.00",2.18M,15.12%
"Mar 18, 2020","5,361.40","5,260.70","5,373.10","5,020.90",1.80M,1.91%
"Mar 17, 2020","5,261.10","5,030.20","5,432.80","4,946.50",1.89M,4.59%
"Mar 16, 2020","5,030.00","5,366.40","5,369.30","4,477.70",2.55M,-6.27%
"Mar 15, 2020","5,366.30","5,182.90","5,863.30","5,120.60",1.61M,3.54%
"Mar 14, 2020","5,182.70","5,589.40","5,634.90","5,072.20",1.69M,-7.19%
"Mar 13, 2020","5,584.30","4,815.20","5,934.30","3,869.50",4.17M,15.71%
"Mar 12, 2020","4,826.00","7,935.20","7,963.10","4,546.60",3.22M,-39.18%
"Mar 11, 2020","7,935.10","7,892.10","7,976.50","7,606.00",1.10M,0.56%
"Mar 10, 2020","7,891.20","7,933.00","8,145.50","7,740.20",1.20M,-0.53%
"Mar 09, 2020","7,933.00","8,035.80","8,158.80","7,648.70",1.54M,-1.26%
"Mar 08, 2020","8,034.10","8,887.80","8,888.00","8,015.30",1.11M,-9.61%
"Mar 07, 2020","8,887.80","9,134.20","9,180.80","8,848.70",750.65K,-2.70%
"Mar 06, 2020","9,134.80","9,060.60","9,165.20","9,004.90",1.04M,0.82%
"Mar 05, 2020","9,060.30","8,757.90","9,147.30","8,751.50",950.76K,3.45%
"Mar 04, 2020","8,757.90","8,761.30","8,840.30","8,679.70",759.69K,-0.04%
"Mar 03, 2020","8,761.40","8,906.10","8,911.70","8,669.30",1.01M,-1.61%
"Mar 02, 2020","8,904.80","8,537.50","8,961.80","8,503.10",1.02M,4.27%
"Mar 01, 2020","8,540.00","8,543.80","8,737.20","8,437.20",784.05K,-0.04%
"Feb 29, 2020","8,543.70","8,697.10","8,793.70","8,539.80",683.44K,-1.77%
"Feb 28, 2020","8,697.50","8,820.10","8,898.70","8,451.90",1.08M,-1.37%
"Feb 27, 2020","8,818.60","8,800.10","8,968.30","8,538.50",1.13M,0.21%
"Feb 26, 2020","8,800.30","9,317.10","9,368.10","8,672.00",1.32M,-5.55%
"Feb 25, 2020","9,317.20","9,662.60","9,672.30","9,269.80",937.97K,-3.57%
"Feb 24, 2020","9,662.70","9,943.20","9,981.00","9,507.00",980.00K,-2.82%
"Feb 23, 2020","9,942.70","9,655.60","9,965.60","9,653.40",775.88K,2.97%
"Feb 22, 2020","9,655.70","9,684.50","9,706.50","9,569.80",589.88K,-0.30%
"Feb 21, 2020","9,684.50","9,602.20","9,747.10","9,574.50",716.61K,0.85%
"Feb 20, 2020","9,602.40","9,611.90","9,681.40","9,448.90",870.80K,-0.07%
"Feb 19, 2020","9,609.40","10,158.60","10,230.90","9,424.30",905.95K,-5.40%
"Feb 18, 2020","10,158.40","9,701.50","10,230.10","9,601.60",945.91K,4.71%
"Feb 17, 2020","9,701.40","9,931.70","9,951.50","9,468.90",961.88K,-2.32%
"Feb 16, 2020","9,932.30","9,907.40","10,056.40","9,654.90",808.91K,0.25%
"Feb 15, 2020","9,907.70","10,336.00","10,369.80","9,831.70",808.81K,-4.12%
"Feb 14, 2020","10,333.00","10,235.50","10,372.40","10,125.20",732.51K,0.96%
"Feb 13, 2020","10,235.10","10,321.90","10,482.60","10,116.90",940.30K,-0.80%
"Feb 12, 2020","10,317.70","10,229.30","10,435.60","10,229.30",803.25K,0.86%
"Feb 11, 2020","10,229.50","9,854.00","10,314.10","9,725.10",791.28K,3.81%
"Feb 10, 2020","9,854.10","10,151.50","10,181.70","9,774.80",781.22K,-2.93%
"Feb 09, 2020","10,151.50","9,895.40","10,157.10","9,882.70",617.35K,2.59%
"Feb 08, 2020","9,895.50","9,817.30","9,931.20","9,673.20",551.31K,0.78%
"Feb 07, 2020","9,818.60","9,771.90","9,872.50","9,738.70",608.96K,0.48%
"Feb 06, 2020","9,772.00","9,611.80","9,854.90","9,536.10",778.67K,1.67%
"Feb 05, 2020","9,611.80","9,194.10","9,726.80","9,179.90",771.46K,4.54%
"Feb 04, 2020","9,193.90","9,296.50","9,347.50","9,193.90",651.68K,-1.10%
"Feb 03, 2020","9,296.60","9,334.60","9,582.80","9,243.10",701.39K,-0.41%
"Feb 02, 2020","9,334.90","9,381.50","9,465.40","9,183.10",683.37K,-0.50%
"Feb 01, 2020","9,381.60","9,349.30","9,458.80","9,301.50",458.42K,0.35%
"Jan 31, 2020","9,349.10","9,508.30","9,525.00","9,222.30",633.37K,-1.66%
"Jan 30, 2020","9,507.30","9,299.10","9,569.00","9,209.20",765.21K,2.24%
"Jan 29, 2020","9,298.90","9,377.30","9,428.70","9,250.90",749.88K,-0.84%
"Jan 28, 2020","9,377.30","8,866.60","9,389.50","8,866.60",954.20K,5.76%
"Jan 27, 2020","8,866.60","8,608.10","8,983.10","8,585.60",706.45K,3.01%
"Jan 26, 2020","8,607.80","8,341.60","8,607.80","8,304.90",468.34K,3.19%
"Jan 25, 2020","8,341.60","8,439.90","8,447.60","8,277.20",444.00K,-1.17%
"Jan 24, 2020","8,439.90","8,404.90","8,522.00","8,242.60",617.02K,0.41%
"Jan 23, 2020","8,405.10","8,678.50","8,687.30","8,309.60",722.67K,-3.15%
"Jan 22, 2020","8,678.50","8,733.00","8,805.40","8,610.80",509.06K,-0.62%
"Jan 21, 2020","8,732.60","8,642.00","8,770.30","8,524.00",540.20K,1.05%
"Jan 20, 2020","8,641.90","8,705.70","8,740.10","8,539.20",599.06K,-0.74%
"Jan 19, 2020","8,706.20","8,916.30","9,183.70","8,552.80",975.01K,-2.36%
"Jan 18, 2020","8,916.30","8,913.00","8,982.30","8,814.60",627.74K,0.04%
"Jan 17, 2020","8,913.10","8,726.70","9,005.10","8,675.90",794.11K,2.13%
"Jan 16, 2020","8,726.90","8,818.10","8,850.00","8,605.80",748.32K,-1.04%
"Jan 15, 2020","8,818.30","8,827.90","8,904.00","8,615.50",1.17M,-0.12%
"Jan 14, 2020","8,829.20","8,111.20","8,898.70","8,111.20",1.48M,8.85%
"Jan 13, 2020","8,111.40","8,188.30","8,196.70","8,068.40",610.66K,-0.93%
"Jan 12, 2020","8,187.60","8,023.30","8,189.90","7,973.10",595.22K,2.04%
"Jan 11, 2020","8,024.10","8,187.80","8,262.90","8,008.40",776.75K,-1.99%
"Jan 10, 2020","8,187.10","7,842.50","8,187.40","7,697.70",1.05M,4.40%
"Jan 09, 2020","7,842.40","8,060.00","8,065.90","7,779.20",786.50K,-2.70%
"Jan 08, 2020","8,059.60","8,154.20","8,436.40","7,900.80",1.19M,-1.18%
"Jan 07, 2020","8,155.70","7,759.10","8,182.00","7,754.10",1.01M,5.11%
"Jan 06, 2020","7,759.10","7,372.60","7,783.10","7,366.70",786.75K,5.24%
"Jan 05, 2020","7,372.50","7,376.80","7,501.00","7,345.60",628.14K,-0.06%
"Jan 04, 2020","7,376.80","7,345.10","7,433.10","7,291.40",523.91K,0.46%
"Jan 03, 2020","7,343.10","6,967.10","7,402.90","6,884.10",936.29K,5.40%
"Jan 02, 2020","6,967.00","7,199.70","7,209.60","6,901.40",632.78K,-3.23%
"Jan 01, 2020","7,199.80","7,196.40","7,259.40","7,180.00",420.28K,0.05%
"Dec 31, 2019","7,196.40","7,261.50","7,331.00","7,167.40",586.60K,-0.90%
"Dec 30, 2019","7,261.80","7,397.50","7,420.90","7,244.10",606.11K,-1.84%
"Dec 29, 2019","7,397.50","7,321.60","7,518.90","7,303.00",611.69K,1.04%
"Dec 28, 2019","7,321.50","7,261.90","7,375.90","7,256.50",610.96K,0.82%
"Dec 27, 2019","7,261.70","7,210.80","7,293.80","7,128.50",718.07K,0.70%
"Dec 26, 2019","7,210.90","7,225.00","7,414.30","7,177.30",795.09K,-0.19%
"Dec 25, 2019","7,224.80","7,268.30","7,542.40","7,150.90",625.41K,-0.60%
"Dec 24, 2019","7,268.30","7,322.40","7,433.20","7,185.70",785.54K,-0.74%
"Dec 23, 2019","7,322.80","7,496.20","7,684.00","7,276.20",952.16K,-2.31%
"Dec 22, 2019","7,495.80","7,156.30","7,501.10","7,142.00",677.94K,4.74%
"Dec 21, 2019","7,156.20","7,196.40","7,197.60","7,129.60",468.74K,-0.56%
"Dec 20, 2019","7,196.40","7,165.50","7,218.40","7,107.70",627.04K,0.43%
"Dec 19, 2019","7,165.50","7,276.40","7,354.00","7,039.30",778.72K,-1.52%
"Dec 18, 2019","7,276.00","6,613.50","7,387.70","6,462.20",1.14M,10.02%
"Dec 17, 2019","6,613.30","6,903.50","6,943.50","6,575.00",894.55K,-4.20%
"Dec 16, 2019","6,903.50","7,128.50","7,153.10","6,864.60",689.56K,-3.16%
"Dec 15, 2019","7,128.50","7,080.80","7,175.80","7,033.80",492.58K,0.67%
"Dec 14, 2019","7,080.80","7,255.20","7,267.40","7,043.30",524.56K,-2.40%
"Dec 13, 2019","7,255.20","7,208.40","7,288.00","7,200.30",503.49K,0.65%
"Dec 12, 2019","7,208.00","7,208.00","7,272.40","7,124.60",611.80K,0.00%
"Dec 11, 2019","7,208.00","7,235.80","7,284.40","7,168.80",518.40K,-0.38%
"Dec 10, 2019","7,235.70","7,356.20","7,400.30","7,192.10",609.50K,-1.63%
"Dec 09, 2019","7,355.80","7,524.80","7,626.00","7,321.60",648.66K,-2.24%
"Dec 08, 2019","7,524.40","7,510.80","7,576.40","7,416.70",499.04K,0.18%
"Dec 07, 2019","7,510.90","7,530.40","7,595.70","7,489.60",557.14K,-0.26%
"Dec 06, 2019","7,530.80","7,399.20","7,552.10","7,329.80",706.10K,1.78%
"Dec 05, 2019","7,399.20","7,204.60","7,476.30","7,184.00",780.78K,2.70%
"Dec 04, 2019","7,204.40","7,291.90","7,702.20","7,113.60",971.75K,-1.20%
"Dec 03, 2019","7,291.80","7,298.10","7,389.40","7,227.10",548.77K,-0.09%
"Dec 02, 2019","7,298.20","7,395.90","7,433.80","7,173.60",687.78K,-1.33%
"Dec 01, 2019","7,396.40","7,546.50","7,546.50","7,244.40",777.00K,-1.99%
"Nov 30, 2019","7,546.60","7,742.70","7,787.70","7,472.70",650.60K,-2.53%
"Nov 29, 2019","7,742.70","7,426.60","7,825.30","7,412.30",766.71K,4.26%
"Nov 28, 2019","7,426.70","7,510.60","7,639.50","7,380.60",737.58K,-1.12%
"Nov 27, 2019","7,510.60","7,162.80","7,636.90","6,875.40",996.49K,4.86%
"Nov 26, 2019","7,162.80","7,115.50","7,329.50","7,045.10",844.27K,0.66%
"Nov 25, 2019","7,115.60","6,924.70","7,352.80","6,534.80",1.29M,2.76%
"Nov 24, 2019","6,924.70","7,325.00","7,344.10","6,894.90",904.50K,-5.45%
"Nov 23, 2019","7,324.10","7,271.60","7,342.50","7,093.70",783.18K,0.71%
"Nov 22, 2019","7,272.50","7,627.90","7,700.90","6,818.50",1.41M,-4.66%
"Nov 21, 2019","7,627.90","8,099.40","8,129.60","7,519.70",891.50K,-5.82%
"Nov 20, 2019","8,099.30","8,145.70","8,223.00","8,074.20",607.27K,-0.57%
"Nov 19, 2019","8,145.70","8,207.70","8,245.60","8,032.80",654.27K,-0.76%
"Nov 18, 2019","8,208.40","8,510.30","8,516.30","8,110.40",692.60K,-3.54%
"Nov 17, 2019","8,509.80","8,497.40","8,631.70","8,413.00",531.22K,0.15%
"Nov 16, 2019","8,497.30","8,476.20","8,532.80","8,450.70",471.16K,0.25%
"Nov 15, 2019","8,476.30","8,660.80","8,761.80","8,437.10",653.71K,-2.13%
"Nov 14, 2019","8,661.20","8,782.90","8,799.80","8,615.80",515.43K,-1.39%
"Nov 13, 2019","8,783.10","8,813.20","8,829.70","8,721.10",454.33K,-0.33%
"Nov 12, 2019","8,812.60","8,737.40","8,841.20","8,615.70",575.16K,0.87%
"Nov 11, 2019","8,736.90","9,036.90","9,066.40","8,649.40",601.16K,-3.32%
